PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2019,40,6218,7658,4827,X,1764,1448,21915,1456967,2896,1.50415,1.49064
2019,41,6550,7638,5147,X,2015,1603,22953,1436150,2924,1.59823,1.59269
2019,42,7273,8277,5548,X,2110,1649,24857,1429897,2950,1.73838,1.72517
2019,43,7892,9349,6080,X,2305,1793,27419,1473740,2980,1.8605,1.83428
2019,44,8658,10068,6143,X,2279,1762,28910,1435277,2989,2.01425,2.04049
2019,45,10557,12551,7182,X,2453,1843,34586,1463253,3007,2.36364,2.39351
2019,46,11446,13671,7904,X,2739,1968,37728,1426760,2976,2.64431,2.63245
2019,47,12714,17049,9138,X,3099,2148,44148,1483729,2971,2.97548,2.91944
2019,48,14389,14717,9159,X,3186,2366,43817,1270842,2971,3.44787,3.41066
2019,49,13839,16389,11943,X,3929,2777,48877,1474075,2977,3.31577,3.2622
2019,50,14728,21877,12822,X,4114,2903,56444,1458774,2947,3.86928,3.94308
2019,51,17999,29177,16225,X,4834,3349,71584,1423829,2913,5.02757,5.06529
2019,52,24097,34004,24617,X,7638,5401,95757,1338669,2905,7.15315,7.06161
2020,1,21564,23383,27650,X,9208,6876,88681,1423620,2957,6.22926,5.91974
2020,2,15547,22747,23631,X,8196,5464,75585,1490905,2987,5.06974,4.94176
2020,3,16587,29657,21395,X,7379,4728,79746,1488404,2983,5.35782,5.33174
2020,4,18558,35216,23657,X,7971,4670,90072,1494697,2984,6.0261,6.08106
2020,5,20299,44117,28889,X,9527,5475,108307,1575900,2984,6.87271,6.74724
2020,6,20270,45491,29790,X,10036,5702,111289,1571300,2994,7.08261,6.7998
2020,7,17393,36909,26428,X,9231,5457,95418,1533883,2958,6.22068,6.11292
2020,8,15233,28328,22908,X,8221,5142,79832,1420123,2909,5.62148,5.55671
2020,9,13817,25487,22125,X,8273,5107,74809,1466192,2934,5.10226,5.12279
2020,10,13888,26396,23906,X,8891,5698,78779,1489410,2901,5.28928,5.26652
2020,11,14149,27752,29657,X,11327,6686,89571,1423503,2836,6.29229,5.67081
2020,12,10790,17512,30818,X,12478,6986,78584,1068755,2798,7.35285,6.38029
2020,13,5129,8322,22408,X,10825,6458,53142,853431,2727,6.22687,4.91692
2020,14,2359,4852,14964,X,8696,5380,36251,750546,2684,4.82995,3.78625
2020,15,1496,3426,9995,X,6043,4014,24974,718953,2686,3.47366,2.80122
2020,16,1068,2666,7423,X,4182,2926,18265,709645,2666,2.57382,2.12879
2020,17,926,2317,6339,X,3289,2293,15164,750576,2652,2.02032,1.73315
2020,18,864,2098,5291,X,2668,1896,12817,790715,2624,1.62094,1.40932
2020,19,729,1889,4585,X,2241,1622,11066,818113,2611,1.35262,1.18336
2020,20,788,1960,4112,X,2171,1449,10480,846400,2601,1.23819,1.11451
2020,21,1224,2402,4375,X,2148,1586,11735,1090638,2971,1.07598,1.00534
2020,22,805,1898,3572,X,1878,1461,9614,1085294,2950,0.885843,0.88827
2020,23,802,1969,3440,X,1705,1409,9325,1137295,2931,0.819928,0.814062
2020,24,881,2141,3454,X,1726,1378,9580,1176074,2902,0.814575,0.836751
2020,25,1006,2679,4709,X,2001,1471,11866,1247767,2935,0.950979,0.928456
2020,26,1216,3491,6241,X,2649,1902,15499,1288294,2896,1.20306,1.14217
2020,27,1395,3970,7032,X,3223,2223,17843,1289006,2897,1.38424,1.27401
2020,28,1545,4094,8010,X,3765,2632,20046,1360798,2918,1.47311,1.34951
2020,29,1658,4075,7526,X,3565,2436,19260,1339726,2894,1.43761,1.34471
2020,30,1634,3560,6105,X,3089,2145,16533,1356301,2953,1.21898,1.22153
2020,31,1609,3497,5709,X,2595,2114,15524,1349125,2992,1.15067,1.15258
2020,32,1570,3271,4977,X,2361,1938,14117,1336052,2956,1.05662,1.0626
2020,33,1592,3167,4502,X,2174,1758,13193,1343895,2978,0.981699,0.979884
2020,34,1804,3283,4305,X,1894,1666,12952,1346595,2930,0.961833,0.969202
2020,35,1866,3951,4032,X,1821,1489,13159,1355839,2967,0.970543,1.00022
2020,36,1759,3609,3773,X,1696,1479,12316,1340149,2921,0.919002,0.920817
2020,37,1999,3822,3975,X,1793,1446,13035,1332779,2915,0.978032,1.0355
2020,38,2070,3628,4070,X,1794,1487,13049,1365420,2943,0.955677,0.974333
2020,39,2286,4366,4412,X,1944,1578,14586,1404590,2941,1.03845,1.06462
