PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2017,40,3844,4553,2486,X,1072,875,12830,1000168,2205,1.28278,1.26682
2017,41,4120,4453,2676,X,1073,947,13269,994535,2233,1.33419,1.30662
2017,42,4409,4993,2804,X,1139,974,14319,1013427,2254,1.41293,1.34866
2017,43,5003,5529,2921,X,1324,1049,15826,1002381,2251,1.57884,1.51871
2017,44,5219,6133,3289,X,1365,1062,17068,999750,2213,1.70723,1.74793
2017,45,6108,6625,3609,X,1523,1129,18994,1019146,2278,1.86372,1.87047
2017,46,6805,7478,4200,X,1778,1354,21615,1030631,2281,2.09726,2.06674
2017,47,6945,5876,3844,X,1707,1445,19817,845535,2264,2.34372,2.28188
2017,48,7008,7476,5235,X,2206,1830,23755,1056270,2274,2.24895,2.28528
2017,49,7230,8491,5050,X,2338,1870,24979,999753,2263,2.49852,2.5848
2017,50,8297,11277,6671,X,2955,2333,31533,984043,2255,3.20443,3.36711
2017,51,10464,14164,9836,X,4578,3622,42664,962961,2204,4.4305,4.71836
2017,52,11301,11509,11373,X,5723,5080,44986,823244,2122,5.46448,5.72036
2018,1,9426,11748,13370,X,6868,5870,47282,879802,2235,5.37416,5.77543
2018,2,10082,17403,15400,X,7791,6246,56922,1026852,2251,5.54335,5.9083
2018,3,12004,21873,15973,X,7536,5551,62937,992379,2277,6.34203,6.49095
2018,4,13432,30671,18349,X,8925,6091,77468,1098998,2279,7.04897,7.17799
2018,5,14854,37252,19095,X,8929,5965,86095,1104089,2265,7.79783,7.52851
2018,6,15192,38457,19505,X,8621,5871,87646,1125265,2290,7.78892,7.38424
2018,7,13340,31984,17163,X,8070,5430,75987,1111598,2215,6.83583,6.46068
2018,8,10142,20394,12428,X,5808,4189,52961,1023689,2259,5.17354,4.95341
2018,9,7190,13370,8445,X,4081,2846,35932,1011645,2194,3.55184,3.67274
2018,10,6357,10841,6483,X,3139,2289,29109,965961,2203,3.01348,3.2037
2018,11,5590,9479,5925,X,2813,2121,25928,946753,2188,2.73862,2.78869
2018,12,5212,8635,5406,X,2563,1969,23785,957380,2168,2.48438,2.50234
2018,13,4722,7216,4720,X,2295,1743,20696,874750,2131,2.36593,2.41065
2018,14,4550,6211,4452,X,2158,1696,19067,937849,2117,2.03306,2.07542
2018,15,4148,5508,3749,X,1818,1449,16672,923041,2076,1.8062,1.78234
2018,16,3859,5269,3216,X,1432,1116,14892,936850,2103,1.58958,1.61608
2018,17,3725,5343,3030,X,1373,1101,14572,945759,2079,1.54077,1.53992
2018,18,3656,4810,2600,X,1215,992,13273,913326,2005,1.45326,1.53115
2018,19,3443,4132,2205,X,935,902,11617,905868,1922,1.28242,1.29599
2018,20,3359,3766,2238,X,905,799,11067,903948,1966,1.2243,1.18904
2018,21,3384,3429,2082,X,885,866,10646,862825,1883,1.23385,1.24941
2018,22,3222,2982,1824,X,846,734,9608,785022,1789,1.22391,1.14134
2018,23,2845,2551,1836,X,802,654,8688,828488,1783,1.04866,0.988567
2018,24,2375,2242,1596,X,699,658,7570,772937,1738,0.979381,0.895433
2018,25,2313,2161,1554,X,730,616,7374,777692,1759,0.94819,0.892227
2018,26,2201,1906,1530,X,669,626,6932,798856,1720,0.867741,0.877636
2018,27,2000,1862,1299,X,539,549,6249,759335,1764,0.822957,0.77502
2018,28,1945,1900,1443,X,627,587,6502,841809,1769,0.772384,0.725956
2018,29,1741,1720,1290,X,566,469,5786,817849,1732,0.707466,0.68266
2018,30,1665,1643,1202,X,523,463,5496,800573,1728,0.686508,0.640527
2018,31,1620,1772,1246,X,525,454,5617,815725,1708,0.68859,0.64106
2018,32,1727,1786,1334,X,541,476,5864,796639,1670,0.736093,0.706465
2018,33,1989,2172,1387,X,516,478,6542,811337,1705,0.806323,0.708668
2018,34,2237,2467,1488,X,602,515,7309,765973,1601,0.954211,0.825743
2018,35,2447,2836,1637,X,655,542,8117,843545,1661,0.962249,0.864409
2018,36,2817,3346,1985,X,767,621,9536,835370,1693,1.14153,1.10114
2018,37,2774,3659,2112,X,829,689,10063,877135,1689,1.14726,1.15244
2018,38,3242,3950,2347,X,922,729,11190,852916,1666,1.31197,1.20257
2018,39,3471,4185,2464,X,925,669,11714,850685,1694,1.37701,1.25033
